,Review,label,label_p,cleaned
21117,"You Dont Care About The Players Itself,All You Care Is Money!!  Pixel Gun 3D More like...  Pixel Pay To Win 3D",2,2,You Dont Care About The Players Itself All You Care Is Money Pixel Gun 3D More like Pixel Pay To Win 3D 
15590,I can`t play with my friends why is this gaining huh,5,4,I can t play with my friend why is this gaining huh 
34544,I think better armour  Will be good,2,2,I think better armour Will be good 
60367,Ehhh i dont like it lags too much it glitches too many hackers,2,2,Ehhh i dont like it lag too much it glitch too many hacker 
15494,"Quick Question. Is there a new Campaign? I spond 21,99€ for a sale and i didn't get these gems and these Keys please help me. My ID is 112370492 Thank you!! And i wish there is more Sandbox Maps and a Setting to make a private server in sandbox It's my favorite game ever but I want the Armory Button on my phone.And Add more Maps ;) Thank you (Cubic.Games, Rilisoft and Pixel Gun Team)!!!!!!!",2,2,Quick Question Is there a new Campaign I spond 21 99 for a sale and i didn t get these gem and these Keys please help me My ID is 112370492 Thank you And i wish there is more Sandbox Maps and a Setting to make a private server in sandbox It s my favorite game ever but I want the Armory Button on my phone And Add more Maps Thank you Cubic Games Rilisoft and Pixel Gun Team 
22783,Add bigger rewards as in coins and don't repeat 3 coins every single time. Also make gems less rare so the game will be more balanced,2,2,Add bigger reward a in coin and don t repeat 3 coin every single time Also make gem le rare so the game will be more balanced 
33633,Where are my guns. I just deleted this game because i changed my phone and then when i downloaded it again my guns are gone,3,3,Where are my gun I just deleted this game because i changed my phone and then when i downloaded it again my gun are gone 
19143,to    Thanks for this boring opportunity,2,2,to Thanks for this boring opportunity 
38030,Oc,0,0,Oc 
20558,Good but add of update that you can sell gun for same price it cost u,2,2,Good but add of update that you can sell gun for same price it cost u 
58748,Could u make the secret forces rifle better that would be even better for everyone but i love this game and could u do donations as well that would be cool BUT PG3D U DA BEST,2,2,Could u make the secret force rifle better that would be even better for everyone but i love this game and could u do donation a well that would be cool BUT PG3D U DA BEST 
25606,(i could not sync data with my play games acount  so please help) but i like the game and the content but please add a system that helps us lock-on to our targets,2,2,i could not sync data with my play game acount so please help but i like the game and the content but please add a system that help u lock on to our target 
25468,I LOVE IT!! But you should consider and a second layer that player can costonmize.,2,2,I LOVE IT But you should consider and a second layer that player can costonmize 
51622,I was at level 20 with 68 gems and now I've relaunched the game and I'm at level 17 with 13 gems... I SPENT A WHOLE NIGHT TRYING TO LEVEL UP SO ME AND MY FRIEND COULD HAVE A FAIR GAME! AND IT'S ALL GONE! I have screenshots of me at lvl 20 with 68 gems and then 17 with 13 gems for proof.I also lost a weapon that's a remake of a bullet bill from Mario. I basically have gone back about half a week and I need it fixed.,3,3,I wa at level 20 with 68 gem and now I ve relaunched the game and I m at level 17 with 13 gem I SPENT A WHOLE NIGHT TRYING TO LEVEL UP SO ME AND MY FRIEND COULD HAVE A FAIR GAME AND IT S ALL GONE I have screenshots of me at lvl 20 with 68 gem and then 17 with 13 gem for proof I also lost a weapon that s a remake of a bullet bill from Mario I basically have gone back about half a week and I need it fixed 
11350,inside need download?,5,4,inside need download 
46289,Its a awsome game very well done until the new update it on February...it skrewed up the gun stats and all the fun gun (Non op guns) are weak and useless...but it doesn't stop me from playing but may stop new players due to Pay To Win players.I will leave it on a good note by saying it's a well done game and a game I'm gladly spent money on and will keep on doing so but just give the free players a chance.😊,2,2,Its a awsome game very well done until the new update it on February it skrewed up the gun stats and all the fun gun Non op gun are weak and useless but it doesn t stop me from playing but may stop new player due to Pay To Win player I will leave it on a good note by saying it s a well done game and a game I m gladly spent money on and will keep on doing so but just give the free player a chance 
22233,Make stuff cheaper for the noobs,2,2,Make stuff cheaper for the noobs 
12259,EFSNANE    COK GUZEL BI OYUN TAVSIYE EDERIM LOL,0,0,EFSNANE COK GUZEL BI OYUN TAVSIYE EDERIM LOL 
56961,Make it not online if it's nearly downloaded,2,2,Make it not online if it s nearly downloaded 
53934,When I went to the leuge and I bought a golden prototype and it said equipped but it's just in the armoury and now I have 0 coins sooooo stupid why did you do that that makes me rate 1 star soo the worst,2,2,When I went to the leuge and I bought a golden prototype and it said equipped but it s just in the armoury and now I have 0 coin sooooo stupid why did you do that that make me rate 1 star soo the worst 
46957,Great game but it lags all the time,5,4,Great game but it lag all the time 
54948,Best shooting game. But then you have fortnite,0,0,Best shooting game But then you have fortnite 
56791,Super p2win with all former guns being garbage now,2,2,Super p2win with all former gun being garbage now 
34004,Tro nay rat la hay nen la toi tat la thich thich vo cung luon,0,0,Tro nay rat la hay nen la toi tat la thich thich vo cung luon 
21596,SERU KAYA MINECRAFT TAPI TEMBAK TEMBAKAN SERU BANGET INI GAME BAGUS TAPI SEDIKIT LAG ADA PET NYA LAGI,0,0,SERU KAYA MINECRAFT TAPI TEMBAK TEMBAKAN SERU BANGET INI GAME BAGUS TAPI SEDIKIT LAG ADA PET NYA LAGI 
11338,so awesome guys!!keep up the good work plz add a ak 47 gun and m4A1 tnx hoping you will add this guns I requested best game!!,2,2,so awesome guy keep up the good work plz add a ak 47 gun and m4A1 tnx hoping you will add this gun I requested best game 
8785,Very Excited to play but can you lower the price of the Guns and aslo can you put like op guns to coins,2,2,Very Excited to play but can you lower the price of the Guns and aslo can you put like op gun to coin 
22106,It's too hard to get coins you either have to spend twenty nine million days grinding just to get a decent amount of coins,2,2,It s too hard to get coin you either have to spend twenty nine million day grinding just to get a decent amount of coin 
16169,"This is a good game,one of the few that I could say lived up to its full potential and only one problem...a little pay to win I have been playing the game for a while now and I can't win with all the laser miniguns mega guns and smart bullet bazookas but still a very fun game!!",2,2,This is a good game one of the few that I could say lived up to it full potential and only one problem a little pay to win I have been playing the game for a while now and I can t win with all the laser miniguns mega gun and smart bullet bazooka but still a very fun game 
29922,Everyone wants to kill me its your falt corators🖕🖕🖕,2,2,Everyone want to kill me it your falt corators 
19103,It a fun and some what challenging shooter but the only problem is the lag,5,4,It a fun and some what challenging shooter but the only problem is the lag 
25044,The controls arnt  amizing but this game is amizing,2,2,The control arnt amizing but this game is amizing 
4605,I like it it's just I want all the gears and robux,2,2,I like it it s just I want all the gear and robux 
3820,I love the game but the loading when u start takes a long time,5,4,I love the game but the loading when u start take a long time 
19862,"I loved the game, but when I was not able to update the game, I decided to delete it and reinstall it, it did restore my weapons, trophies, etc but it did not restore my purchases of a total of $2.97 and I had spent $0.99 today and it deducted my money and did not give me my gems. Please look into my problem",3,3,I loved the game but when I wa not able to update the game I decided to delete it and reinstall it it did restore my weapon trophy etc but it did not restore my purchase of a total of 2 97 and I had spent 0 99 today and it deducted my money and did not give me my gem Please look into my problem 
27427,Every time I log on to a mode I can't control my character,5,4,Every time I log on to a mode I can t control my character 
31456,Pro game love it but there are two many hackers I was on level 2 a guy had the champion peacemaker,2,2,Pro game love it but there are two many hacker I wa on level 2 a guy had the champion peacemaker 
55385,Pls add a mode that makes you the monster and you fight other players.(humans) great work!!😜😙😗🙆😹👦📲.I would give this a 1000000000000000000000000 star rating.also pls make it to you can edit your pets?again nice job!😋😋😋😋😋😋😋😋😋😋😙😙😙😙😙😙🎏🐇😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁,2,2,Pls add a mode that make you the monster and you fight other player human great work I would give this a 1000000000000000000000000 star rating also pls make it to you can edit your pet again nice job 
51760,I love the game but can you make the price is shorter peace,2,2,I love the game but can you make the price is shorter peace 
46800,I hope your happy i rated your game and BRING BACK THE QUESTS!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,2,2,I hope your happy i rated your game and BRING BACK THE QUESTS 
25007,You should add more to the campaign you should make it where you can Crouch and lay down,2,2,You should add more to the campaign you should make it where you can Crouch and lay down 
6765,so I'm playing pixel gun and it said new update  and I have the new update so I cant play pixel gun 3d,5,4,so I m playing pixel gun and it said new update and I have the new update so I cant play pixel gun 3d 
39581,Its very good but can u add a some sort of trading system plz,2,2,Its very good but can u add a some sort of trading system plz 
5999,I really like the squads and the new maps in the game.but if they could put more maps for the new games that will be great.and the clans should have a lobby were the can talk or plan a fight against other clans.,2,2,I really like the squad and the new map in the game but if they could put more map for the new game that will be great and the clan should have a lobby were the can talk or plan a fight against other clan 
23977,It's hard to level up and hard to be a pro,2,2,It s hard to level up and hard to be a pro 
4877,They stool my money,3,3,They stool my money 
31401,"I have had this game for so long(more than 3 years) and i have to say the game has changed.Maps left than came back and new ones appered,new guns, new things,new everything.And yet i still love the game.SO WHO EVER SAYS THIS GAME IS NOT THE BEST YOU BETTER CHANGE YOUR THOUGHTS BECAUSE THIS GAME IS FLUFFIN(i dont curce) FUN.",2,2,I have had this game for so long more than 3 year and i have to say the game ha changed Maps left than came back and new one appered new gun new thing new everything And yet i still love the game SO WHO EVER SAYS THIS GAME IS NOT THE BEST YOU BETTER CHANGE YOUR THOUGHTS BECAUSE THIS GAME IS FLUFFIN i dont curce FUN 
21501,"Its so good and can you guys do an update for me pls, can you create an armor called power armor from fallout 4 pls",2,2,Its so good and can you guy do an update for me pls can you create an armor called power armor from fallout 4 pls 
19704,"Bitte bringen sie coole und bessere updates, und battle royale. Wer cool",0,0,Bitte bringen sie coole und bessere update und battle royale Wer cool 
40318,It is an awsome game and addictive but the controls could be a little better,2,2,It is an awsome game and addictive but the control could be a little better 
27926,It is a really good game but the graphics aren't all that good,2,2,It is a really good game but the graphic aren t all that good 
54131,No more updates plz its wasting my data,5,4,No more update plz it wasting my data 
51944,It's a great first person shooter to mix Minecraft and call of duty,0,0,It s a great first person shooter to mix Minecraft and call of duty 
634,818mb and unable to install!?,5,4,818mb and unable to install 
28451,Love the game overall...just wish it was ezr to get weapons.... Better ways to get gems... I am 15 with an over protective mom... She won't spend money on anything that is not needed...,2,2,Love the game overall just wish it wa ezr to get weapon Better way to get gem I am 15 with an over protective mom She won t spend money on anything that is not needed 
18476,Great 4.5 though I really wish for more ofline stuff so you dont keep playing Extreme Run and Campaign.,2,2,Great 4 5 though I really wish for more ofline stuff so you dont keep playing Extreme Run and Campaign 
1971,Updates take too much storage,5,4,Updates take too much storage 
